# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,气刃槽最大值,衰减速度,LV1时间,LV2时间,LV3时间,维持满状态时间,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
150000,测试用物理双刀,Test Physical Dual Blades,1,1,ep_lslw_14,1,1,1,2,1,6,2,0,0,1,0,0,50,1,0,0,0,,360200,360200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,0,0,0,0,500,0,0,3000000,1090000,1210000,1720000,2010000,2400000,3200000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,27,10,998,10,999,10,0,0,0,0,0,0,0,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150001,Test Elemental Dual Blades,Test Physical Dual Blades,1,1,ep_lslw_14,1,1,1,2,1,6,2,0,0,1,0,0,50,1,0,0,0,,360200,360200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,0,0,0,0,450,0,0,3000000,1090000,1210000,1720000,2010000,2400000,3200000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,,,0,0,0,0,27,10,998,10,999,10,0,0,0,0,0,0,0,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150002,极长 麻毒 双刀,极长 麻毒 双刀,1,1,ep_lslw_14,1,1,1,2,1,6,2,0,0,1,0,0,50,1,0,0,0,,360200,360200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,0,2,0,0,40,0,0,1000000,400000,950000,1450000,2950000,3360000,3910000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,42,0,42,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,27,10,998,10,999,10,0,0,0,0,0,0,0,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150003,极长 火雷 双刀,极长 火雷 双刀,1,1,ep_lslw_14,1,1,1,2,1,6,2,0,0,1,0,0,50,1,0,0,0,,360200,360200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,0,2,0,0,40,0,0,1000000,400000,950000,1450000,2950000,3360000,3910000,4000000,4000000,4000000,4000000,300,0,0,42,42,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,27,10,998,10,999,10,0,0,0,0,0,0,0,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150004,Extremely Long Ice-water Dual Blades,Extremely Long Ice-water Dual Blades,1,1,ep_lslw_14,1,1,1,2,1,6,2,0,0,1,0,0,50,1,0,0,0,,360200,360200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,0,2,0,0,40,0,0,1000000,400000,950000,1450000,2950000,3360000,3910000,4000000,4000000,4000000,4000000,300,0,42,0,0,0,42,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,27,10,998,10,999,10,0,0,0,0,0,0,0,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150005,Pillow Walker,枕头双刀，测试用商业化武器。,55,3,ep_nb4_14,1,1,1,2,1,6,2,0,0,1,0,0,600000,6000,0,0,0,,500003,500003,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,142,0,7,3000000,680000,900000,1100000,1200000,2400000,3050000,4000000,4000000,4000000,4000000,300,0,0,0,0,37,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,11,41,42,43,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150006,Dawnwind Blades,"""<FONT COLOR=\""\""\#C6B262\""\"">训练专用，离开训练场后将归还猎人工会</FONT>""",1,1,ep_lslw_14,0,1,1,2,1,6,2,0,0,1,0,0,50,1,0,0,0,,360200,360200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,40,0,0,1000000,400000,1470000,2910000,3680000,3770000,3910000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,2,3,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,
150500,Adventurer's Dual Blades,使用岩龙素材打造的双刀，硬度超乎想象，高速舞动下能造成很大的破坏。,25,1,ep_yl_14,0,1,1,2,1,6,2,0,0,1,0,0,56000,560,0,0,0,,360023,360023,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,98,0,-10,2000000,500000,1080000,1450000,2170000,2900000,3080000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150501,遥啸双刃,形似飞镖的双刀，在战斗进入危难关头可以扔出去自保。,35,1,ep_lx_14,0,1,1,2,1,6,2,0,0,1,0,0,161000,1610,0,0,0,,360015,360015,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,93,0,0,2500000,1050000,1340000,1710000,1900000,2570000,3460000,4000000,4000000,4000000,4000000,300,0,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,11,12,13,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150502,寒光冰棘,代表雪狮子王的极寒之刃，在雪地中反射的光芒很耀眼。,35,1,ep_xszw_14,0,1,1,2,1,6,2,0,0,1,0,0,161000,1610,0,0,0,,360017,360017,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,93,0,0,2500000,270000,350000,430000,1800000,2690000,3220000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,25,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,51,52,53,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
