# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,装填速度,晃动偏移,反动大小,射速,可用配件1,可用配件2,可用配件3,配件3参数,可用配件4,可用子弹1,子弹1装填数量,子弹1发射类型,子弹1后坐力,可用子弹2,子弹2装填数量,子弹2发射类型,子弹2后坐力,可用子弹3,子弹3装填数量,子弹3发射类型,子弹3后坐力,可用子弹4,子弹4装填数量,子弹4发射类型,子弹4后坐力,可用子弹5,子弹5装填数量,子弹5发射类型,子弹5后坐力,可用子弹6,子弹6装填数量,子弹6发射类型,子弹6后坐力,可用子弹7,子弹7装填数量,子弹7发射类型,子弹7后坐力,可用子弹8,子弹8装填数量,子弹8发射类型,子弹8后坐力,可用子弹9,子弹9装填数量,子弹9发射类型,子弹9后坐力,可用子弹10,子弹10装填数量,子弹10发射类型,子弹10后坐力,可用子弹11,子弹11装填数量,子弹11发射类型,子弹11后坐力,可用子弹12,子弹12装填数量,子弹12发射类型,子弹12后坐力,可用子弹13,子弹13装填数量,子弹13发射类型,子弹13后坐力,可用子弹14,子弹14装填数量,子弹14发射类型,子弹14后坐力,可用子弹15,子弹15装填数量,子弹15发射类型,子弹15后坐力,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
50002,默认远程武器,,1,1,ep_lslw_08,1,1,1,2,1,5,2,0,0,1,0,0,99999,1,0,0,0,,350200,350200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,0,50,0,0,1000000,0,0,0,0,0,0,0,0,0,0,300,0,50,50,50,50,50,50,50,50,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2,100,通常弹2级,,,,,通常弹1级,8,,,散弹1级,6,,,贯通弹1级,4,,,彻甲榴弹1级,2,,,火焰弹,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110001,测试用全物理弹 普通弩炮,全物理弹 普通弩炮,1,1,ep_lslw_08,1,1,1,2,1,5,2,0,0,1,0,0,50,1,0,0,0,,350200,350200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,500,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,500,500,500,500,500,500,500,500,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,6,,,通常弹2级,4,,小,通常弹3级,2,,小,散弹1级,6,,,散弹2级,4,,小,散弹3级,2,,小,贯通弹1级,6,,,贯通弹2级,4,,小,贯通弹3级,2,,小,彻甲榴弹1级,6,,,彻甲榴弹2级,4,,小,彻甲榴弹3级,2,,小,,,,,,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110002,测试用全物理弹 蓄力弩炮,全物理弹 蓄力弩炮,1,1,ep_lslw_08,1,1,1,2,1,5,2,0,0,1,0,0,50,1,0,0,0,,350200,350200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,500,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,500,500,500,500,500,500,500,500,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,100,,,,,,通常弹1级,6,蓄力,,通常弹2级,4,蓄力,小,通常弹3级,2,蓄力,小,散弹1级,6,蓄力,,散弹2级,4,蓄力,小,散弹3级,2,蓄力,小,贯通弹1级,6,蓄力,,贯通弹2级,4,蓄力,小,贯通弹3级,2,蓄力,小,彻甲榴弹1级,6,蓄力,,彻甲榴弹2级,4,蓄力,小,彻甲榴弹3级,2,蓄力,小,,,,,,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110003,测试用全物理弹 速射弩炮,全物理弹 速射弩炮,1,1,ep_lslw_08,1,1,1,2,1,5,2,0,0,1,0,0,50,1,0,0,0,,350200,350200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,500,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,500,500,500,500,500,500,500,500,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,慢,,,100,,,,,,通常弹1级,6,速射3发,,通常弹2级,4,速射3发,小,通常弹3级,2,速射3发,小,散弹1级,6,速射3发,,散弹2级,4,速射3发,小,散弹3级,2,速射3发,小,贯通弹1级,6,速射3发,,贯通弹2级,4,速射3发,小,贯通弹3级,2,速射3发,小,彻甲榴弹1级,6,速射3发,,彻甲榴弹2级,4,速射3发,小,彻甲榴弹3级,2,速射3发,小,,,,,,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110004,测试用全属性异常弹 普通弩炮,全属性异常弹 普通弩炮,1,1,ep_tmsw_08,1,1,1,2,1,5,2,0,0,1,0,0,50,1,0,0,0,,350200,350200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,450,450,450,450,450,450,450,450,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,100,,,,,,猛毒弹,4,,小,麻痹弹,4,,小,致眠弹,4,,小,水冷弹,2,,,火焰弹,2,,,电击弹,2,,,灭龙弹,2,,小,冰结弹,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110005,测试用全属性异常弹 速射弩炮,全属性异常弹 速射弩炮,1,1,ep_tmsw_08,1,1,1,2,1,5,2,0,0,1,0,0,50,1,0,0,0,,350200,350200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,5,30,1,1,0,0,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,450,450,450,450,450,450,450,450,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,100,,,,,,猛毒弹,4,速射3发,小,麻痹弹,4,速射3发,小,致眠弹,4,速射3发,小,水冷弹,2,速射3发,,火焰弹,2,速射3发,,电击弹,2,速射3发,,灭龙弹,2,速射3发,小,冰结弹,2,速射3发,,爆破弹,3,速射3发,小,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110006,review枪管,利用青竹制作的远程武器弩炮，能够搭载最基本的通常弹，帮助猎人与怪物保持一定的距离发起攻击。,74,1,ep_lslw_08,1,1,1,2,1,5,2,0,0,1,0,0,50,1,0,0,0,,350200,350200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,10,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,8,,小,通常弹2级,5,速射2发,中,散弹1级,3,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110007,训练用弩,"""<FONT COLOR=\""\""\#C6B262\""\"">训练专用，离开训练场后将归还猎人工会</FONT>""",79,1,ep_unem001_n,0,1,1,2,1,5,2,0,0,1,0,0,50,1,0,0,0,,350601,350601,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,10,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,中,,,100,,,,,,通常弹1级,8,,小,通常弹2级,5,,小,贯通弹1级,3,速射2发,小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110008,看不见弩,无时限时装武器<BR>测试用,1,4,ep_unem001_n,1,1,1,2,5,5,2,0,0,1,0,0,99999,1,1,401023,0,,310199,310199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,99,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110500,冒险者之弩,采用岩龙素材作为主身的重弩，一发炮击能炸开巨岩。,25,1,ep_yl_08,0,1,1,2,1,5,2,0,0,1,0,0,56000,560,0,0,0,,350023,350023,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,1,0,0,10,98,0,-10,0,0,0,0,0,0,0,0,0,0,0,300,0,98,98,98,98,98,98,98,98,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,快,,,100,,,,,,通常弹1级,8,,小,通常弹2级,7,,小,散弹1级,4,,小,散弹2级,4,蓄力,中,贯通弹1级,4,蓄力,中,火焰弹,6,,小,致眠弹,6,,中,麻痹弹,6,,中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
