# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,劲力槽1段,劲力槽2段,附加劲力值,衰减速度,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
200000,测试用物理斩斧,周围缠绕着炙热青焰的大剑，被其妖异的光芒迷惑住的人将毫无意外地成为刀下冤魂。,65,3,ep_cahl_06,1,1,1,2,1,12,2,0,0,1,0,0,600000,6000,0,0,0,,420087,420087,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,0,99,0,0,0,10,500,0,0,3000000,1360000,2090000,2300000,2410000,2600000,3250000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,21,22,23,,12000020,12000030,1,,12000020,12000030,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200001,测试用属性斩斧,周围缠绕着炙热青焰的大剑，被其妖异的光芒迷惑住的人将毫无意外地成为刀下冤魂。,65,3,ep_cahl_06,1,1,1,2,1,12,2,0,0,1,0,0,600000,6000,0,0,0,,420087,420087,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,0,99,0,0,0,10,450,0,0,3000000,1360000,2090000,2300000,2410000,2600000,3250000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,16120005,16120016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,21,22,23,,12000020,12000030,1,,12000020,12000030,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200002,斩斧测试2,使用灰晶蝎素材制作的大剑，刀身闪着银灰色的光芒。,65,3,ep_hjx_06,1,1,1,2,1,12,2,0,0,1,0,0,600000,6000,0,0,0,,420000,420000,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,0,99,0,0,0,10,500,0,0,3000000,1360000,2090000,2300000,2410000,2600000,3250000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,1,2,3,,12000020,12000030,1,,12000020,12000030,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200003,斩斧测试3,使用钢龙素材打造的巨剑，刀身缠绕着寒冷的冻气，挥动一下就能使周围迅速降温。,65,3,ep_gl_06,1,1,1,2,1,12,2,0,0,1,0,0,600000,6000,0,0,0,,420000,420000,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,0,99,0,0,0,10,500,0,0,3000000,1360000,2090000,2300000,2410000,2600000,3250000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,51,52,53,,12000020,12000030,1,,12000020,12000030,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200004,斩斧测试4,以砂岩龙素材打造的巨剑，在沙漠中挥动一剑可以引起强烈的风暴。,65,3,ep_syl_06,1,1,1,2,1,12,2,0,0,1,0,0,600000,6000,0,0,0,,420000,420000,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,0,99,0,0,0,10,500,0,0,3000000,1360000,2090000,2300000,2410000,2600000,3250000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120006,16120011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,1,2,3,,12000020,12000030,1,,12000020,12000030,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200005,斩斧测试5,以砂岩龙素材打造的巨剑，在沙漠中挥动一剑可以引起强烈的风暴。,65,3,ep_syl_06,1,1,1,2,1,12,2,0,0,1,0,0,600000,6000,0,0,0,,420000,420000,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,0,99,0,0,0,10,500,0,0,3000000,1360000,2090000,2300000,2410000,2600000,3250000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120007,16120012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,1,2,3,,12000020,12000030,1,,12000020,12000030,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200006,斩斧测试6,以砂岩龙素材打造的巨剑，在沙漠中挥动一剑可以引起强烈的风暴。,65,3,ep_syl_06,1,1,1,2,1,12,2,0,0,1,0,0,600000,6000,0,0,0,,420000,420000,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,0,99,0,0,0,10,500,0,0,3000000,1360000,2090000,2300000,2410000,2600000,3250000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120008,16120013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,1,2,3,,12000020,12000030,1,,12000020,12000030,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200007,斩斧测试7,以砂岩龙素材打造的巨剑，在沙漠中挥动一剑可以引起强烈的风暴。,65,3,ep_syl_06,1,1,1,2,1,12,2,0,0,1,0,0,600000,6000,0,0,0,,420000,420000,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,0,99,0,0,0,10,500,0,0,3000000,1360000,2090000,2300000,2410000,2600000,3250000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120009,16120014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11,1,2,3,,12000020,12000030,1,,12000020,12000030,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200008,训练用斩斧,"""<FONT COLOR=\""\""\#C6B262\""\"">训练专用，离开训练场后将归还猎人工会</FONT>""",1,1,ep_lslw_16,0,1,1,2,1,12,2,0,0,1,0,0,50,1,0,0,0,,420200,420200,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,0,99,0,0,0,10,40,0,0,1000000,600000,1190000,2030000,2860000,3360000,3780000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16120004,16120015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,2,3,,,,1,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421000,新手斩斧,使用期限7天,1,4,ep_novice001_x,1,1,1,2,5,12,2,0,0,1,0,0,99999,1,1,0,604800,,420200,420200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,99,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,Y,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
