# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
170000,测试用物理长枪,测试用长枪,1,1,ep_xf_12,1,1,1,2,1,3,2,0,0,1,0,0,0,50,0,0,0,,330001,330001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,500,0,0,3000000,1490000,1670000,1920000,2200000,2500000,3200000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170001,测试用属性长枪,测试用长枪,1,1,ep_xf_12,1,1,1,2,1,3,2,0,0,1,0,0,0,50,0,0,0,,330001,330001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,450,0,0,3000000,1490000,1670000,1920000,2200000,2500000,3200000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170002,黄斩长枪,测试用长枪,1,1,ep_lslw_06,1,1,1,2,1,3,2,0,0,1,0,0,0,50,0,0,0,,330013,330013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,2000000,500000,1000000,2000000,3000000,3500000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170003,绿斩长枪,测试用长枪,1,1,ep_lslw_06,1,1,1,2,1,3,2,0,0,1,0,0,0,50,0,0,0,,330014,330014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,3000000,500000,1000000,2000000,3000000,3500000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170004,蓝斩长枪,测试用长枪,1,1,ep_lslw_06,1,1,1,2,1,3,2,0,0,1,0,0,0,50,0,0,0,,330015,330015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,3500000,500000,1000000,2000000,3000000,3500000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170005,白斩斩长枪,测试用长枪,1,1,ep_lslw_06,1,1,1,2,1,3,2,0,0,1,0,0,0,50,0,0,0,,330016,330016,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,30,30,1,0,0,0,0,50,0,0,4000000,500000,1000000,2000000,3000000,3500000,4000000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170006,沙原利刃【顽奴】,采取沙狸兽素材制作的长枪，鲜亮的色彩受到众多女性粉丝的欢迎。,20,1,ep_sls_12,0,1,1,2,1,3,2,0,0,1,0,0,34000,340,0,0,0,,330201,330201,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,87,0,0,2000000,430000,1050000,1500000,2130000,3520000,3560000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170007,沁毒长兵,能喷射出剧毒粘液的恐怖之枪，枪口有造雾装置，一旦紫气喷出，冥界之门即缓缓开启。,30,1,ep_zdn_12,0,1,1,2,1,3,2,0,0,1,0,0,94000,940,0,0,0,,330204,330204,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,84,0,0,2000000,220000,670000,930000,1700000,2260000,3340000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,53,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170008,摩天塔,选用岩龙素材试作的长枪，非常沉重，只有膂力惊人的猎人才能使用，与其说是挥舞不如说是敲击。,40,2,ep_yl_12,0,1,1,2,1,3,2,0,0,1,0,0,300000,3000,0,0,0,,330023,330023,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,137,0,-15,2500000,700000,1110000,1290000,2150000,2870000,3280000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170009,妖宿戟,再现祸星龙妖异之相的长兵，枪刃封印着无穷的杀气，誓要将猎物封印入无尽的黑暗中。,55,3,ep_hxl_12,0,1,1,2,1,3,2,0,0,1,0,0,600000,6000,0,0,0,,330209,330209,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,115,0,10,3000000,440000,720000,900000,1000000,2500000,3330000,4000000,4000000,4000000,4000000,300,0,0,0,0,41,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,41,42,43,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
