# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,排序参数,强化规则,染色规则,物品过期Tag,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
60001,P。Dawnwind Helm,为初入米拉德村的猎人准备的基础头部防具，能够提供最简单的防护措施。,1,1,ep_xf_01,1,0,1,2,2,1,2,0,0,1,0,0,600,1,0,0,0,111000,121000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,2,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,110,2,11,2,10,2,0,0,0,0,0,0,,,,,,,,Y,,,,,,,,,60001,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60006,P。Dawnwind Helm,为初入米拉德村的猎人准备的基础头部防具，能够提供最简单的防护措施。,1,1,ep_xf_01,1,0,1,2,2,1,2,0,0,1,0,0,100,1,0,0,0,111000,121000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,35,4,112,4,129,4,131,4,133,4,0,,,51,,,,Y,,,1,1,1,,,,,,,,,,,,1085;1090;1095;1100;3010;3020;3030;3040;3050;3060;3070;3080;3090,,,,,,,,,,,,,,,,,,,,,
60002,P。Dawnwind Braces,为初入米拉德村的猎人准备的基础腕部防具，能够提供最简单的防护措施。,1,1,ep_xf_03,1,0,1,2,2,2,2,0,0,1,0,0,600,1,0,0,0,211000,221000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,2,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,110,2,11,2,0,0,0,0,0,0,0,0,,,,,,,,Y,,,,,,,,,60001,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60007,P。Dawnwind Braces,为初入米拉德村的猎人准备的基础腕部防具，能够提供最简单的防护措施。,1,1,ep_xf_03,1,0,1,2,2,2,2,0,0,1,0,0,100,1,0,0,0,211000,221000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,35,4,112,4,129,4,131,4,133,4,0,,,51,,,,Y,,,1,1,1,,,,,,,,,,,,1085;1090;1095;1100;3010;3020;3030;3040;3050;3060;3070;3080;3090,,,,,,,,,,,,,,,,,,,,,
60003,P。Dawnwind Mail,为初入米拉德村的猎人准备的基础胸部防具，能够提供最简单的防护措施。,1,1,ep_xf_02,1,0,1,2,2,3,2,0,0,1,0,0,600,1,0,0,0,311000,321000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,2,,0,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,110,2,11,2,10,3,0,0,0,0,0,0,,,,,,,,Y,,,,,,,,,60001,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60008,P。Dawnwind Mail,为初入米拉德村的猎人准备的基础胸部防具，能够提供最简单的防护措施。,1,1,ep_xf_02,1,0,1,2,2,3,2,0,0,1,0,0,100,1,0,0,0,311000,321000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,35,4,112,4,129,4,131,4,133,4,0,,,51,,,,Y,,,1,1,1,,,,,,,,,,,,1085;1090;1095;1100;3010;3020;3030;3040;3050;3060;3070;3080;3090,,,,,,,,,,,,,,,,,,,,,
60004,P。Dawnwind Faulds,为初入米拉德村的猎人准备的基础腰部防具，能够提供最简单的防护措施。,1,1,ep_xf_05,1,0,1,2,2,4,2,0,0,1,0,0,600,1,0,0,0,411000,421000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,2,,0,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,110,2,11,2,10,2,0,0,0,0,0,0,,,,,,,,Y,,,,,,,,,60001,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60009,P。Dawnwind Faulds,为初入米拉德村的猎人准备的基础腰部防具，能够提供最简单的防护措施。,1,1,ep_xf_05,1,0,1,2,2,4,2,0,0,1,0,0,100,1,0,0,0,411000,421000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,35,4,112,4,129,4,131,4,133,4,0,,,51,,,,Y,,,1,1,1,,,,,,,,,,,,1085;1090;1095;1100;3010;3020;3030;3040;3050;3060;3070;3080;3090,,,,,,,,,,,,,,,,,,,,,
60005,P。Dawnwind Greaves,为初入米拉德村的猎人准备的基础腿部防具，能够提供最简单的防护措施。,1,1,ep_xf_04,1,0,1,2,2,5,2,0,0,1,0,0,600,1,0,0,0,511000,521000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,2,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,110,2,11,2,0,0,0,0,0,0,0,0,,,,,,,,Y,,,,,,,,,60001,150,,,,,,,1085;1090;1095;1100;1105;1110;1115;1120;3010;3020;3030;3040;3050;3060;3070;3080;3090;3095;3100;3105;3110;3115;3120;3125;3130;3135;3140;3145;3150;3155;3160;3165;3170;3175;3180,,0.8,,,,,,,,,,,,,,,,,,,
60010,P。Dawnwind Greaves,为初入米拉德村的猎人准备的基础腿部防具，能够提供最简单的防护措施。,1,1,ep_xf_04,1,0,1,2,2,5,2,0,0,1,0,0,100,1,0,0,0,511000,521000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,35,4,112,4,129,4,131,4,133,4,0,,,51,,,,Y,,,1,1,1,,,,,,,,,,,,1085;1090;1095;1100;3010;3020;3030;3040;3050;3060;3070;3080;3090,,,,,,,,,,,,,,,,,,,,,
