# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,排序参数,强化规则,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
80001,Raw Necklace·I,"""教官年轻时获得的作为勇者的象征，似乎可以用一些材料进行加工的样子，不如在工匠那试试吧。\n（穿戴该装备需要角色等级至少1级）""",1,1,prop_gem_05,1,0,1,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80002,Raw Necklace·II,"""将零碎的兽骨穿制而成的项链，有一种原始粗旷的美。\n（穿戴该装备需要角色等级至少5级）""",1,1,prop_gem_05,1,0,1,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80004,Raw Necklace·III,"""将棒状之骨切碎进行粗制打磨，串成骨链，市面上出现的常见饰品。\n（穿戴该装备需要角色等级至少10级）""",1,1,prop_gem_05,1,0,2,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80005,Raw Necklace·IV,"""粗磨骨链的改造品，精心打磨后效果更好。\n（穿戴该装备需要角色等级至少15级）""",1,1,prop_gem_05,1,0,2,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80006,Raw Necklace·V,"""一块硬骨制成的吊牌，上面刻着所有者的姓名。\n（穿戴该装备需要角色等级至少20级）""",1,2,prop_gem_05,1,0,3,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80007,Raw Necklace·VI,"""出自匠人之手的吊牌，是骨质吊坠的进阶版。\n（穿戴该装备需要角色等级至少25级）""",1,2,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80008,Raw Necklace·VII,"""骨锥打磨成的挂饰，做工精致且造型时髦，在大都会中十分风行。\n（穿戴该装备需要角色等级至少30级）""",1,2,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80009,Raw Necklace·VIII,"""除了颜色漆黑之外跟锥骨挂饰并无二样，但给人的感觉完全不同，戴上后彻骨冰凉。\n（穿戴该装备需要角色等级至少35级）""",1,2,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80010,Raw Necklace·IX,"""将数颗骷髅打磨圆熟，串成项链，是修行者们的爱物。\n（穿戴该装备需要角色等级至少40级）""",1,3,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80011,Raw Necklace·X,"""将串联项链的材质换成了精铁，坚硬非常。\n（穿戴该装备需要角色等级至少45级）""",1,3,prop_gem_05,1,0,4,2,3,2,2,0,0,1,0,1,5000,50,0,0,0,,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,,,2,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Y,,,1,1,1,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
