# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,副本中使用次数,随机狩猎奖励点,解绑道具,解绑道具数量
27001,NPC Gift 1,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,1,0,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27001,,,,,,,,,,,,,,,,,,,,,,,,,,,
27002,NPC Gift 2,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27002,,,,,,,,,,,,,,,,,,,,,,,,,,,
27003,NPC Gift 3,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_bone_06,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27003,,,,,,,,,,,,,,,,,,,,,,,,,,,
27004,NPC Gift 4,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,item_icon_21,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27004,,,,,,,,,,,,,,,,,,,,,,,,,,,
27005,NPC Gift 5,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_grain_03,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,NPC Gift 6,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,mat_wing_01_white,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27006,,,,,,,,,,,,,,,,,,,,,,,,,,,
27007,NPC Gift 7,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,item_icon_15,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27007,,,,,,,,,,,,,,,,,,,,,,,,,,,
27008,NPC Gift 8,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,item_icon_30,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27008,,,,,,,,,,,,,,,,,,,,,,,,,,,
27009,NPC Gift 9,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_food_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27009,,,,,,,,,,,,,,,,,,,,,,,,,,,
27010,NPC Gift 10,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27010,,,,,,,,,,,,,,,,,,,,,,,,,,,
27011,NPC Gift 11,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27011,,,,,,,,,,,,,,,,,,,,,,,,,,,
27012,NPC Gift 12,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27012,,,,,,,,,,,,,,,,,,,,,,,,,,,
27013,NPC Gift 13,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27013,,,,,,,,,,,,,,,,,,,,,,,,,,,
27014,NPC Gift 14,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,item_icon_05,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27014,,,,,,,,,,,,,,,,,,,,,,,,,,,
27015,NPC Gift 15,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27015,,,,,,,,,,,,,,,,,,,,,,,,,,,
27016,NPC Gift 16,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27016,,,,,,,,,,,,,,,,,,,,,,,,,,,
27020,NPC Gift 17,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27020,,,,,,,,,,,,,,,,,,,,,,,,,,,
27017,NPC Gift 18,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27017,,,,,,,,,,,,,,,,,,,,,,,,,,,
27018,NPC Gift 19,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27018,,,,,,,,,,,,,,,,,,,,,,,,,,,
27019,NPC Gift 20,"""<BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,2,prop_herbs_02,1,0,1,11,1,0,0,99,99,0,0,100,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27019,,,,,,,,,,,,,,,,,,,,,,,,,,,
27021,测试用辅助药水1,"""<FONT COLOR=\""\#68A16A\"" >这个道具是测试用的，如果你发现了它，请务必举报给GM，负责发它的策划将会受到无尽的鞭挞</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源：未知</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">TEST</FONT>""",1,3,item_icon_48,1,0,1,1,1,2,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,获得BUFF,10676,0,0,获得BUFF,13020462,0,0,恢复生命,200,0,0,恢复耐力,150,0,0,0,27021,,,,,,,,,,,,,,,,,,,,,,,,,,,
