# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,副本中使用次数,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,随机狩猎奖励点,解绑道具,解绑道具数量
1,Potion,"""<FONT COLOR=\""\#68A16A\"" >Consumable：Recover 30 Health</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination, Shop</FONT><BR>""",1,1,item_icon_01,1,0,1,1,1,0,0,10,999,0,0,50,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,1,,0,0,200100016,恢复生命,30,0,0,道具使用统计,回复药,0,0,0,0,0,0,0,0,0,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
2,Armor Pill,"""<FONT COLOR=\""\#68A16A\"" >Consumable：Increase max defense by 20 points</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination, Shop</FONT><BR><BR><FONT COLOR=\""\#C6B262\"" >DISCARD</FONT>""",1,1,item_icon_02,1,0,1,1,1,0,0,5,999,0,0,150,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100007,恢复耐力,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,
3,Shock Trap,"""<FONT COLOR=\""\#68A16A\"" >Usage：Set on the ground, large monster who stepped on it will be paralyzed</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR><BR><FONTCOLOR=\""\#C6B262\"" >Note：Doesn't work on certain large monsters.</FONT>""",1,1,item_icon_03,1,0,1,1,6,2,0,1,999,0,0,250,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200300002,生成场景物件,MHTrap.MHParalysisTrap,0.7,1,道具使用统计,麻痹陷阱,8,0,0,0,0,0,0,0,0,0,1,3,,5,,,,,,,,,,,,,,,,,,,,,,,,
4,Antidote,"""<FONT COLOR=\""\#68A16A\"" >Usage：Removes ""Poison"" and ""Confusion"" status</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination, Shop</FONT><BR>""",1,1,4,1,0,1,1,1,0,0,10,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100015,移除BUFF类型,毒,0,0,移除BUFF,60027,0,0,0,0,0,0,0,0,0,0,1,4,,4,,,,,,,,,,,,,,,,,,,,,,,,
5,Whetstone,"""<FONT COLOR=\""\#68A16A\"" >Use：Restore weapon sharpness</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Gathering, Farm, Shop</FONT><BR>""",1,1,item_icon_05,1,0,1,1,4,0,0,20,999,0,0,50,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200400001,增加锋利度,2000000,0,0,移除BUFF,19167,0,0,0,0,0,0,0,0,0,0,1,5,,6,,,,,,,,,,,,,,,,,,,,,,,,
6,Flash Bomb,"""<FONT COLOR=\""\#68A16A\"" >Throw：Flashes brightly on impact.Toss this right under a monster's nose to blind it.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_06,1,0,1,1,5,0,0,3,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200003,0,0,0,0,道具使用统计,闪光弹,8,0,0,0,0,0,0,0,0,0,1,6,,3,,,,,,,,,,,,,,,,,,,,,,,,
7,Sonic Bomb,"""<FONT COLOR=\""\#68A16A\"" >Throw：Grenade-like item that emits a high-frequency blast of sound on detonation and disorients monsters</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination</FONT><BR>""",1,1,item_icon_07,1,0,1,1,5,0,0,3,999,0,0,200,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200001,0,0,0,0,道具使用统计,音爆弹,8,0,0,0,0,0,0,0,0,0,1,7,,3,,,,,,,,,,,,,,,,,,,,,,,,
8,Herb,"""<FONT COLOR=\""\#68A16A\"" >Consumable: Recover 10 health and removes bleeding.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Gathering, Farm</FONT><BR>""",1,1,item_icon_08,1,0,1,1,1,0,0,10,999,0,0,10,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100001,恢复生命,10,0,0,移除BUFF,19117,0,0,0,0,0,0,0,0,0,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cool Drink,"""<FONT COLOR=\""\#68A16A\"" >Consumable：Drink this bestows temporary resistance to extreme heat</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination, Shop</FONT><BR>""",1,1,item_icon_09,1,0,1,1,1,0,0,20,999,0,0,150,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100010,获得BUFF,13002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,,6,,,,,,,,,,,,,,,,,,,,,,,,
10,Hot Drink,"""<FONT COLOR=\""\#68A16A\"" >Consumable：Drink this bestows temporary resistance to extreme cold</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination, Shop</FONT><BR>""",1,1,item_icon_10,1,0,1,1,1,0,0,20,999,0,0,150,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100004,获得BUFF,13001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,,6,,,,,,,,,,,,,,,,,,,,,,,,
