# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,副本中使用次数,随机狩猎奖励点,解绑道具,解绑道具数量
7001,Normal S Lv1,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Normal S Lv1 with a Bowgun</FONT><BR>""",1,1,prop_bullet_01,1,0,1,4,通常弹1级,0,0,9999,9999,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7001,,,,,,,,,,,,,,,,,,,,,,,,,,,
7002,Normal S Lv2,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Normal S Lv2 with a Bowgun</FONT><BR><FONT COLOR=\""\#6285C6\"">Source: Combination, Shop</FONT><BR>""",2,1,prop_bullet_01,1,0,1,4,通常弹2级,0,0,99,999,0,0,0.2,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7002,,,,,,,,,,,,,,,,,,,,,,,,,,,
7003,Normal S Lv3,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Normal S Lv3 with a Bowgun</FONT><BR><FONT COLOR=\""\#6285C6\"">Source: Combination, Shop</FONT><BR>""",3,1,prop_bullet_01,1,0,1,4,通常弹3级,0,0,60,999,0,0,0.67,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004,Crag S Lv1,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Crag S Lv1 with a Bowgun, deals higher damage</FONT><BR><FONT COLOR=\""\#6285C6\"">Source: Combination, Shop</FONT><BR>""",1,1,prop_bullet_02,1,0,1,4,彻甲榴弹1级,0,0,20,999,0,0,4,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7004,,,,,,,,,,,,,,,,,,,,,,,,,,,
7005,Crag S Lv2,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Crag S Lv2 with a Bowgun, deals higher damage</FONT><BR><FONT COLOR=\""\#6285C6\"">Source: Combination, Shop</FONT><BR>""",2,1,prop_bullet_02,1,0,1,4,彻甲榴弹2级,0,0,20,999,0,0,6,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7005,,,,,,,,,,,,,,,,,,,,,,,,,,,
7006,Crag S Lv3,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Crag S Lv3 with a Bowgun, deals higher damage</FONT><BR><FONT COLOR=\""\#6285C6\"">Source: Combination, Shop</FONT><BR>""",3,1,prop_bullet_02,1,0,1,4,彻甲榴弹3级,0,0,20,999,0,0,8,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7006,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,Pellet S Lv1,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Pellet S Lv1 with a Bowgun, deals area of effect damage</FONT><BR><FONT COLOR=\""\#6285C6\"">Source: Combination, Shop</FONT><BR>""",1,1,prop_bullet_03,1,0,1,4,散弹1级,0,0,40,999,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,
7008,Pellet S Lv2,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Pellet S Lv2 with a Bowgun, deals area of effect damage</FONT><BR><FONT COLOR=\""\#6285C6\"">Source: Combination, Shop</FONT><BR>""",2,1,prop_bullet_03,1,0,1,4,散弹2级,0,0,40,999,0,0,2,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7008,,,,,,,,,,,,,,,,,,,,,,,,,,,
7009,Pellet S Lv3,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Pellet S Lv3 with a Bowgun, deals area of effect damage</FONT><BR><FONT COLOR=\""\#6285C6\"">Source: Combination, Shop</FONT><BR>""",3,1,prop_bullet_03,1,0,1,4,散弹3级,0,0,40,999,0,0,3,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7009,,,,,,,,,,,,,,,,,,,,,,,,,,,
7010,Pierce S Lv1,"""<FONT COLOR=\""\#68A16A\"">Possessing：Allows you to shoot Pierce S Lv1 with a Bowgun, has powerful penetration</FONT><BR><FONT COLOR=\""\#6285C6\"">Source: Combination, Shop</FONT><BR>""",1,1,prop_bullet_04,1,0,1,4,贯通弹1级,0,0,40,999,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7010,,,,,,,,,,,,,,,,,,,,,,,,,,,
