# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,副本中使用次数,随机狩猎奖励点,解绑道具,解绑道具数量
13001,废弃13001,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,0,0,999,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13001,,,,,,,,,,,,,,,,,,,,,,,,,,,
13002,废弃13002,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,1000,100,100,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13002,,,,,,,,,,,,,,,,,,,,,,,,,,,
13003,废弃13003,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,1000,100,100,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13003,,,,,,,,,,,,,,,,,,,,,,,,,,,
13004,废弃13004,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,1000,100,100,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13004,,,,,,,,,,,,,,,,,,,,,,,,,,,
13005,废弃13005,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,1000,100,100,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13005,,,,,,,,,,,,,,,,,,,,,,,,,,,
13006,废弃13006,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,1000,100,100,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13006,,,,,,,,,,,,,,,,,,,,,,,,,,,
13007,废弃13007,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,1000,100,100,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13007,,,,,,,,,,,,,,,,,,,,,,,,,,,
13008,废弃13008,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,1000,100,100,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13008,,,,,,,,,,,,,,,,,,,,,,,,,,,
13009,废弃13009,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,1000,100,100,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13009,,,,,,,,,,,,,,,,,,,,,,,,,,,
13010,废弃13010,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,1000,100,100,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13010,,,,,,,,,,,,,,,,,,,,,,,,,,,
13011,废弃13011,"""<BR><I><FONT COLOR=\""\#C6B262\"">DISCARD</FONT></I>""",1,5,mat_jade_05,1,0,1,7,1,0,0,0,999,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13011,,,,,,,,,,,,,,,,,,,,,,,,,,,
