# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,副本中使用次数,随机狩猎奖励点,解绑道具,解绑道具数量
25001,Raw Seed LV1,"""<FONT COLOR=\""\#68A16A\"" >Farming：Can harvest Herb、Sunny Herb、Sticky Grass、Ivy、Dye Color Fruit、Huskberry、Needleberry、Scatternut、Latchberry、Sleep Herb、Nullberry</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Farm Store</FONT><BR>""",1,2,prop_plant_18,1,0,1,9,1,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25001,,,,,,,,,,,,,,,,,,,,,,,,,,,
25002,Raw Seed LV2,"""<FONT COLOR=\""\#68A16A\"" >Farming：Can harvest  Wild Pepper、Antidote Herb、Cactus Flower、Power Seed、Armor Seed、Frost Herb、Fire Herb、Datura Flower、Nullberry</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Farm Store</FONT><BR>""",1,2,prop_plant_18,1,0,1,9,1,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25002,,,,,,,,,,,,,,,,,,,,,,,,,,,
25003,Raw Seed LV3,"""<FONT COLOR=\""\#68A16A\"" >Farming：Can harvest  Power Seed、Might Seed、Armor Seed、Adamant Seed、Fire Herb、Datura Flower、Ivy、Nullberry</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Farm Store</FONT><BR>""",1,2,prop_plant_18,1,0,1,9,1,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25003,,,,,,,,,,,,,,,,,,,,,,,,,,,
25004,Raw Seed LV4,"""<FONT COLOR=\""\#68A16A\"" >Farming：Can harvest  Blue line Grass、Dosbiscus、Turtle Fruit</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Farm Store</FONT><BR>""",1,2,prop_plant_18,1,0,1,9,1,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25004,,,,,,,,,,,,,,,,,,,,,,,,,,,
25005,Raw Seed LV5,"""<FONT COLOR=\""\#68A16A\"" >Farming：Can harvest  Black Bone Herb、Solana Moss、Chaos Mushroom</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Farm Store</FONT><BR>""",1,2,prop_plant_18,1,0,1,9,1,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25005,,,,,,,,,,,,,,,,,,,,,,,,,,,
25006,Raw Seed LV6,"""<FONT COLOR=\""\#68A16A\"" >Farming：Can harvest  White Clover、Sandy Spine、Polar Ginsing</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Farm Store</FONT><BR>""",1,2,prop_plant_18,1,0,1,9,1,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25006,,,,,,,,,,,,,,,,,,,,,,,,,,,
25007,Raw Seed LV7,"""<FONT COLOR=\""\#68A16A\"" >Farming：Can harvest  Longan Grass、Datora Flower, Bell Fruit、Green Bell Herb、Huskberry</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Farm Store</FONT><BR>""",1,2,prop_plant_18,1,0,1,9,1,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25007,,,,,,,,,,,,,,,,,,,,,,,,,,,
25008,Mine Token,"""<FONT COLOR=\""\#68A16A\"" >Possessed: Allows you to use large mining facility</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Farm Daily Quests, Weekly Quests</FONT><BR>""",1,2,prop_bill_09,1,0,1,9,5,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25008,,,,,,,,,,,,,,,,,,,,,,,,,,,
25009,Bug Nest Token,"""<FONT COLOR=\""\#68A16A\"" >Possessed: Allows you to use large insect-catching facility</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Farm Daily Quests, Weekly Quests</FONT><BR>""",1,2,prop_bill_10,1,0,1,9,6,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25009,,,,,,,,,,,,,,,,,,,,,,,,,,,
25010,Fish Net Token,"""<FONT COLOR=\""\#68A16A\"" >Possessed: Allows you to use large fishing facility</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Farm Daily Quests, Weekly Quests</FONT><BR>""",1,2,prop_bill_05,1,0,1,9,7,0,0,99,99,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25010,,,,,,,,,,,,,,,,,,,,,,,,,,,
