# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,副本中使用次数,随机狩猎奖励点,解绑道具,解绑道具数量
4500,支给用奥义药水,"""<FONT COLOR=\""\#68A16A\"" >饮用：奥义槽增加100%</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录</FONT><BR>""",1,1,item_icon_11,0,0,1,1,1,0,0,5,99,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,6,4500,0,0,200100016,获得BUFF,10634,0,0,播放特效,1,1,0,0,0,0,0,0,0,0,0,0,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,
4501,沙尘玉包,"""<FONT COLOR=\""\#68A16A\"" >投掷：丢出沙尘玉，对怪物造成伤害</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录、猎人生活</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">灌满了沙子</FONT>""",1,1,mat_visceral_01,0,0,1,1,5,0,0,99,99,0,1,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,-1,0,4501,0,0,200200015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4501,,,,,,,,,,,,,,,,,,,,,,,,,,,
4502,十字爆桶,"""<FONT COLOR=\""\#68A16A\"" >放置：在地上摆放十字爆桶</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">会产生十字型的爆炸</FONT>""",1,1,item_icon_38,0,0,1,1,5,0,0,99,99,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,6,4502,0,0,200300006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4502,,,,,,,,,,,,,,,,,,,,,,,,,,,
4503,迷你手雷袋 · 试作型,"""<FONT COLOR=\""\#68A16A\"" >投掷：丢出迷你手雷，对怪物造成伤害</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">适合艾露族小手的迷你型号</FONT>""",1,1,item_icon_47,0,0,1,1,5,0,0,99,99,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,-1,0,4503,0,0,200200019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4503,HandGrenadeX,,,,,,,,,,,,,,,,,,,,,,,,,,
4504,迷你手雷袋 · 连装型,"""<FONT COLOR=\""\#68A16A\"" >投掷：丢出迷你手雷，对怪物造成伤害</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">适合艾露族小手的迷你型号</FONT>""",1,1,item_icon_46,0,0,1,1,5,0,0,99,99,0,1,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,-1,6,4504,0,0,200200020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4504,HandGrenadeX,,,,,,,,,,,,,,,,,,,,,,,,,,
4505,清理飞刀,"""<FONT COLOR=\""\#68A16A\"" >投掷：丢出清理飞刀，清理怪物的身体</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">特别钝化的刀头上涂了很多薄荷汁</FONT>""",1,1,item_icon_33,0,0,1,1,5,0,0,99,99,0,1,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,-1,0,4505,0,0,200200016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4505,,,,,,,,,,,,,,,,,,,,,,,,,,,
4506,三射刃 · 试作型,"""<FONT COLOR=\""\#68A16A\"" >投掷：丢出三射刃，对怪物造成伤害</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">可以向三个方向飞行</FONT>""",1,1,prop_cast_03,0,0,1,1,5,0,0,99,99,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,4506,0,0,200200017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4506,FlyBlade,,,,,,,,,,,,,,,,,,,,,,,,,,
4507,十射刃,"""<FONT COLOR=\""\#68A16A\"" >投掷：丢出十射刃，对怪物造成伤害</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">其实没有十把</FONT>""",1,1,item_icon_33,0,0,1,1,5,0,0,99,99,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,4507,0,0,200200018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4507,FlyBlade,,,,,,,,,,,,,,,,,,,,,,,,,,
4508,迷你音爆玉,"""<FONT COLOR=\""\#68A16A\"" >投掷：丢出便携音爆玉，爆炸后后发出强烈音波，对某些怪物具有特效</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">适合艾露族小手的迷你型号</FONT>""",1,1,item_icon_07,0,0,1,1,5,0,0,10,99,0,0,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,4508,0,0,200200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4508,,,,,,,,,,,,,,,,,,,,,,,,,,,
4509,香油小刀,"""<FONT COLOR=\""\#68A16A\"" >投掷：丢出香油小刀</FONT><BR><FONT COLOR=\""\#6285C6\"" >限定：喵喵异闻录</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">可以让雌火龙闻起来更有魅力</FONT>""",1,1,item_icon_35,0,0,1,1,5,0,0,99,99,0,1,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,-1,0,4509,0,0,200200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4509,,,,,,,,,,,,,,,,,,,,,,,,,,,
