# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,副本中使用次数,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,随机狩猎奖励点,解绑道具,解绑道具数量
40001,商城回复药,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_01,1,0,1,1,1,2,0,10,999,0,1,20,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"1,2,3,4,5",0,1,0,1,,0,0,200100016,恢复生命,30,0,0,0,0,0,0,指定关卡中不可使用,140302,0,0,0,0,0,0,0,40001,,1,,,,,,,,,,,,,,,,,,,,,,,,
40002,商城冷饮,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_09,1,0,1,1,1,2,0,10,999,0,1,50,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"1,2,3,4,5",0,1,0,0,,0,0,200100010,获得BUFF,13002,0,0,0,0,0,0,指定关卡中不可使用,140302,0,0,0,0,0,0,0,40002,,1,,,,,,,,,,,,,,,,,,,,,,,,
40003,商城热饮,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_10,1,0,1,1,1,2,0,10,999,0,1,50,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"1,2,3,4,5",0,1,0,0,,0,0,200100004,获得BUFF,13001,0,0,0,0,0,0,指定关卡中不可使用,140302,0,0,0,0,0,0,0,40003,,1,,,,,,,,,,,,,,,,,,,,,,,,
40004,Cat name card,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Give your lovely palico a nice name!！</FONT>""",1,1,prop_book_07,1,0,1,1,15,2,0,0,999,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"1,2,3,4,5",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40004,,4,,,,,,,,,,,,,,,,,,,,,,,,
40005,商城鬼人药,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_10,1,0,1,1,1,2,0,10,999,0,1,20,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,1,,0,0,200100016,获得BUFF,13100,0,0,0,0,0,0,指定关卡中不可使用,140302,0,0,0,0,0,0,0,40005,,1,,,,,,,,,,,,,,,,,,,,,,,,
40006,商城硬化药,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_13,1,0,1,1,1,2,0,10,999,0,1,20,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,1,,0,0,200100016,获得BUFF,13120,0,0,0,0,0,0,指定关卡中不可使用,140302,0,0,0,0,0,0,0,40006,,1,,,,,,,,,,,,,,,,,,,,,,,,
40007,商城砥石,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_05,1,0,1,1,4,2,0,20,999,0,1,20,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200400001,增加锋利度,2000000,0,0,0,0,0,0,指定关卡中不可使用,140302,0,0,0,0,0,0,0,40007,,1,,,,,,,,,,,,,,,,,,,,,,,,
40008,商城强走药,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_11,1,0,1,1,1,2,0,20,999,0,1,200,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100005,增加耐力上限,25,0,0,获得BUFF,13003,0,0,指定关卡中不可使用,140302,0,0,恢复耐力,150,0,0,0,40008,,1,,,,,,,,,,,,,,,,,,,,,,,,
40009,商城回家玉,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_83,1,0,1,1,5,2,0,20,999,0,1,200,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200800003,传送回营地,0,0,0,0,0,0,0,指定关卡中不可使用,140801.140802.140803.140804.140805.140806.140807.140808.140809.140810.140302,0,0,0,0,0,0,0,40009,,1,,,,,,,,,,,,,,,,,,,,,,,,
40010,商城烤肉架,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_44,1,0,1,1,3,2,0,0,999,0,1,50,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,-1,0,0,,0,0,200700001,检查拥有道具A或者B,20000,20001,0,0,0,0,0,指定关卡中不可使用,140302,0,0,0,0,0,0,0,40010,,1,,,,,,,,,,,,,,,,,,,,,,,,
40011,商城小刀,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_33,1,0,1,1,5,2,0,20,999,0,1,120,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200200002,0,0,0,0,0,0,0,0,指定关卡中不可使用,140302,0,0,0,0,0,0,0,40011,,1,,,,,,,,,,,,,,,,,,,,,,,,
40012,Admission Book,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_67,1,0,1,1,0,2,0,0,999,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,,0,0,0,扩展仓库格子,1,0,0,显示物品使用提示,2091,0,0,0,0,0,0,0,0,0,0,0,40012,,4,,,,,,,,,,,,,,,,,,,,,,,,
40013,Admission Book,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_68,1,0,1,1,0,2,0,0,999,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,,0,0,0,扩展仓库格子,5,0,0,显示物品使用提示,2093,0,0,0,0,0,0,0,0,0,0,0,40013,,4,,,,,,,,,,,,,,,,,,,,,,,,
40014,Admission Book,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,prop_book_04,1,0,1,1,0,2,0,0,999,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,,0,0,0,扩展仓库格子,10,0,0,显示物品使用提示,2092,0,0,0,0,0,0,0,0,0,0,0,40014,,4,,,,,,,,,,,,,,,,,,,,,,,,
40015,商城大桶爆弹,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_38,1,0,1,1,5,2,0,5,999,0,1,300,1,1,0,0,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200300005,生成场景物件,Bomb.BigBucketBomb,0.7,0,0,0,0,0,指定关卡中不可使用,140302,0,0,0,0,0,0,0,40015,,2,,,,,,,,,,,,,,,,,,,,,,,,
40016,清凉饮料,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_09,1,0,1,1,1,2,0,20,999,0,1,1,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,0,0,,0,0,200100010,获得BUFF,13002,0,0,0,0,0,0,增加耐力上限,50,0,0,获得BUFF,13003,0,0,0,40016,,1,,,,,,,,,,,,,,,,,,,,,,,,
40017,希望之笛,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_42,1,0,1,1,1,2,2,1,1,0,1,1,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,2,0,0,,0,0,200900003,区域范围内恢复友方生命,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40017,,2,,,,,,,,,,,,,,,,,,,,,,,,
40018,Relic Slate,"""<FONT COLOR=\""\#68A16A\"" >Use to roll for loot in the dragon ruins.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,dragonkey_01,1,0,1,1,1,2,0,0,999,0,1,20,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40018,,4,,,,,,,,,,,,,,,,,,,,,,,,
40019,密林石板,"""<FONT COLOR=\""\#68A16A\"" >Use to roll for loot in the dragon ruins.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,dragonkey_02,1,0,1,1,1,2,0,0,999,0,1,20,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40019,,4,,,,,,,,,,,,,,,,,,,,,,,,
40020,冻土石板,"""<FONT COLOR=\""\#68A16A\"" >Use to roll for loot in the dragon ruins.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,dragonkey_02,1,0,1,1,1,2,0,0,999,0,1,20,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40020,,4,,,,,,,,,,,,,,,,,,,,,,,,
40021,商城宝箱钥匙4,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_01,1,0,1,1,1,2,0,0,999,0,1,20,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40021,,4,,,,,,,,,,,,,,,,,,,,,,,,
40022,商城宝箱钥匙5,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_01,1,0,1,1,1,2,0,0,999,0,1,20,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40022,,4,,,,,,,,,,,,,,,,,,,,,,,,
40023,商城宝箱钥匙6,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_01,1,0,1,1,1,2,0,0,999,0,1,20,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40023,,4,,,,,,,,,,,,,,,,,,,,,,,,
40024,商城宝箱钥匙7,"""<FONT COLOR=\""\#6285C6\"" >Source：Mall</FONT><BR>""",1,1,item_icon_01,1,0,1,1,1,2,0,0,999,0,1,20,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40024,,4,,,,,,,,,,,,,,,,,,,,,,,,
