# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,副本中使用次数,随机狩猎奖励点,解绑道具,解绑道具数量
5001,Gypceros Flash Jade,"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,1,mat_head_02,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001,,,,,,,,,,,,,,,,,,,,,,,,,,,
5002,异闻录之书,"""<BR><FONT COLOR=\""\#C6B262\"">会长罗登送给思奇的礼物，可以记录更多页的异闻录，上面还有公会的标记。</FONT>""",1,1,prop_book_02,1,0,1,2,1,2,1,1,1,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5002,,,,,,,,,,,,,,,,,,,,,,,,,,,
5003,Kut-Ku Head,"""<FONT COLOR=\""\#68A16A\"" >黍老伯想做成稻草人吓跑大怪鸟用</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,1,prop_ore_05,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5003,,,,,,,,,,,,,,,,,,,,,,,,,,,
5004,飞翼之书,"""<FONT COLOR=\""\#68A16A\"" >会长让你转交给贺菲的书，据说是会长小时候曾经参考过的技术书本。</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,1,prop_book_14,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,,,,,,,,,,,,,,,,,,,,,,,,,,,
5005,会长的推荐信,"""<FONT COLOR=\""\#68A16A\"" >会长让你交给教官的纸条，上面只写着两个大字：“通过”。</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,1,prop_book_11,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5005,,,,,,,,,,,,,,,,,,,,,,,,,,,
5006,Baelidae Intestines,"""<FONT COLOR=\""\#68A16A\"" >贺菲让你采集的极其恶心的蜘蛛器官，希望没有毒……</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,1,prop_food_02,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5006,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,Genprey Bile,"""<FONT COLOR=\""\#68A16A\"" >你闻了之后就想吐，是非常可怕的食材。</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,1,prop_food_03,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5007,,,,,,,,,,,,,,,,,,,,,,,,,,,
5008,Kut-Ku Long Beak,"""<FONT COLOR=\""\#68A16A\"" >大怪鸟的上部的喙，非常锐利，雷欧说这是最好的材料。</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,1,0,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5008,,,,,,,,,,,,,,,,,,,,,,,,,,,
5009,Genprey Spine,"""<FONT COLOR=\""\#68A16A\"" >雷欧让你采集的怪物素材，据说能够打造出前所未有的好武器。</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,1,0,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5009,,,,,,,,,,,,,,,,,,,,,,,,,,,
5010,Fire Torch,"""<FONT COLOR=\""\#68A16A\"" >特制的火把，在恶劣环境下也不容易熄灭</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,1,mat_tooth_01,1,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5010,,,,,,,,,,,,,,,,,,,,,,,,,,,
