# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,对应技能1ID,点数1,对应技能2ID,点数2,对应技能3ID,点数3,对应技能4ID,点数4,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,镶嵌需求孔数,镶嵌需求装备等级Min,镶嵌需求装备等级Max,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,副本中使用次数,随机狩猎奖励点,解绑道具,解绑道具数量
29001,Attack Jewel [1],"""<FONT COLOR=\""\#68A16A\"" >Upon Equipping：Attack+1，Defense-1</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源：珠宝调和\n所需素材：水光原珠×1  怪鸟的靭翼×2     </FONT><BR>""",1,2,prop_sb_01,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,0,0,0,0,0,29001,,,1,1,999,,,,,,,,,,,,,,,,,,,,,,,,,
29002,Attack Jewel [2],"""<FONT COLOR=\""\#68A16A\"" >Upon Equipping：Attack+3，Defense-1</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源：珠宝调和\n所需素材：水光原珠×1  岩龙的重背壳×2     </FONT><BR>""",1,3,prop_sb_01,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,-1,0,0,0,0,0,29002,,,2,1,999,,,,,,,,,,,,,,,,,,,,,,,,,
29003,Attack Jewel [3],"""<FONT COLOR=\""\#68A16A\"" >Upon Equipping：Attack+5，Defense-2</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源：珠宝调和\n所需素材：水光原珠×1  金毛兽王的重骨×2  高级技能珠素材券×10</FONT><BR>""",1,4,prop_sb_02,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,-2,0,0,0,0,0,29003,,,3,1,999,,,,,,,,,,,,,,,,,,,,,,,,,
29004,Defense Jewel [1],"""<FONT COLOR=\""\#68A16A\"" >Upon Equipping：Defense+1，Attack-1</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源：珠宝调和\n所需素材：水光原珠×2  沙雷鸟的韧翼×1     </FONT><BR>""",1,2,prop_sb_01,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-1,0,0,0,0,0,29004,,,1,1,999,,,,,,,,,,,,,,,,,,,,,,,,,
29005,Defense Jewel [2],"""<FONT COLOR=\""\#68A16A\"" >Upon Equipping：Defense+3，Attack-1</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源：珠宝调和\n所需素材：水光原珠×2  金毛兽王的重牙×1     </FONT><BR>""",1,3,prop_sb_01,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,-1,0,0,0,0,0,29005,,,2,1,999,,,,,,,,,,,,,,,,,,,,,,,,,
29006,Defense Jewel [3],"""<FONT COLOR=\""\#68A16A\"" >Upon Equipping：Defense+5，Attack-1</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源：珠宝调和\n所需素材：水光原珠×1  沙龙王的大储砂袋×2  高级技能珠素材券×10</FONT><BR>""",1,4,prop_sb_02,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,-1,0,0,0,0,0,29006,,,3,1,999,,,,,,,,,,,,,,,,,,,,,,,,,
29007,Vitality Jewel [1],"""<FONT COLOR=\""\#68A16A\"" >Upon Equipping：Health+2</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源：珠宝调和\n所需素材：水光原珠×1  河狸兽的特等皮×2     </FONT><BR>""",1,2,prop_sb_01,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,29007,,,1,1,999,,,,,,,,,,,,,,,,,,,,,,,,,
29008,Vitality Jewel [2],"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,2,prop_sb_01,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-1,0,0,0,0,0,29008,,,2,,999,,,,,,,,,,,,,,,,,,,,,,,,,
29009,Vitality Jewel [3],"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",1,2,prop_sb_01,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-1,0,0,0,0,0,29009,,,3,,999,,,,,,,,,,,,,,,,,,,,,,,,,
29010,Forceshot Jewel [1],"""<FONT COLOR=\""\#68A16A\"" >Upon Equipping：Normal Up+1，Normal S+-1</FONT><BR><FONT COLOR=\""\#6285C6\"" >来源：珠宝调和\n所需素材：琉璃原珠×2  红速龙王的特上皮×1  高级技能珠素材券×10</FONT><BR>""",1,2,prop_sb_02,1,0,1,12,1,0,0,0,99,,0,280,1,0,0,0,,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,87,-1,0,0,0,0,0,29010,,,1,1,999,,,,,,,,,,,,,,,,,,,,,,,,,
