# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,副本中使用次数,随机狩猎奖励点,解绑道具,解绑道具数量
6001,Pickaxe,"""<FONT COLOR=\""\#68A16A\"" >Use: Gather ore in the farm or hunting field.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source: Combination Invention, Shops</FONT><BR>""",1,1,prop_tool_03,1,0,1,3,1,0,0,10,999,8,0,0,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,Unlimited Pickaxe,"""<FONT COLOR=\""\#68A16A\"" >Use : Gather ore in the farm or hunting field.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source : Combination</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">It can be used unlimitedly per hunt.</FONT>""",1,4,prop_tool_03_inf,1,0,1,3,1,2,0,1,999,8,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6002,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003,3rd Grade Pickaxe,"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",3,3,prop_tool_03,1,0,1,3,1,0,0,10,10,100,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6003,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,4th Grade/Level Pickaxe,"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",4,3,prop_tool_03,1,0,1,3,1,0,0,10,10,100,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6004,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,5th Grade/Level Pickaxe,"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",5,4,prop_tool_03,1,0,1,3,1,0,0,10,10,100,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6005,,,,,,,,,,,,,,,,,,,,,,,,,,,
6006,6th Grade/Level Pickaxe,"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",6,4,prop_tool_03,1,0,1,3,1,0,0,10,10,100,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6006,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,7th Grade/Level Pickaxe,"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",7,5,prop_tool_03,1,0,1,3,1,0,0,10,10,100,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6007,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,8th Grade/Level Pickaxe,"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",8,5,prop_tool_03,1,0,1,3,1,0,0,10,10,100,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6008,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009,9th Grade/Level Pickaxe,"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",9,6,prop_tool_03,1,0,1,3,1,0,0,10,10,100,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6009,,,,,,,,,,,,,,,,,,,,,,,,,,,
6010,10th Grade/Level Pickaxe,"""<BR><FONT COLOR=\""\#C6B262\"">DISCARD</FONT>""",10,6,prop_tool_03,1,0,1,3,1,0,0,10,10,100,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6010,,,,,,,,,,,,,,,,,,,,,,,,,,,
