LevelId,CryLevel,DisplayName,Name,Matching_Name,Pos,Rotate
,arena_001,,SwitchRegionTrigger1,MHPlayerSpawnPoint2,"1406.3965,704.26306,30.134357","1,0,0,0"
,arena_004,,SwitchRegionTrigger2_3,MHPlayerSpawnPoint2_3,"2309.991,725.89178,84.0625","-0.20791176,0,0,0.97814757"
,arena_004,,SwitchRegionTrigger7_10,MHPlayerSpawnPoint7_10,"3149.1553,1002.6658,184.62604","0.56640625,0,0,-0.82412624"
,arena_004,,SwitchRegionTrigger11_6,MHPlayerSpawnPoint11_6,"2557.5923,2953.03,187.92506","0.68199801,0,0,0.731354"
,arena_004,,SwitchRegionTrigger0_1,MHPlayerSpawnPoint0_1,"1379.176,698.69391,55.34375","0.90630782,0,0,-0.42261818"
,arena_004,,SwitchRegionTrigger8_5_Tip,,"810.80371,2668.2566,84.212296","0.66262013,0,0,-0.74895567"
,arena_004,,SwitchRegionTrigger3_7_Tip,,"2349.3911,743.40332,83.811607","0.97437006,0,0,-0.22495104"
,arena_004,,SwitchRegionTrigger10_7,MHPlayerSpawnPoint10_7,"2286.0776,1688.7981,177.75","0.96363038,0,0,0.26723865"
,arena_004,,SwitchRegionTrigger3_1_Tip,,"2306.7544,666.76428,85.161789","0.97992474,0,0,-0.19936779"
,arena_004,,SwitchRegionTrigger0_1_Tip,MHPlayerSpawnPoint0_1,"1379.176,698.69391,55.34375","0.90630782,0,0,-0.42261818"
,arena_004,,SwitchRegionTrigger6_7_Tip,,"2504.615,2902.3525,187.11137","0.069756508,0,0,0.99756408"
,arena_004,,SwitchRegionTrigger4_2_Tip,,"704.89575,1395.9137,139.2153","0.9876883,0,0,-0.15643466"
,arena_004,,SwitchRegionTrigger2_1_Tip,,"1455.4447,2032.3407,120.3748","0.15643431,0,0,0.98768836"
,arena_004,,SwitchRegionTrigger5_8,MHPlayerSpawnPoint5_8,"801.74615,2668.9221,78.999039","0.68835455,0,0,0.7253744"
,arena_004,,SwitchRegionTrigger2_5_Tip,,"1519.8488,2120.0854,123.76709","0.18223536,0,0,0.98325497"
,arena_004,,SwitchRegionTrigger8_4,MHPlayerSpawnPoint8_4,"643.56293,1448.0497,140.06165","-4.3711388e-008,0,0,1"
,arena_004,,SwitchRegionTrigger12_6_Tip,,"3372.3286,2606.7959,50.32082","-0.47715884,0,0,0.87881708"
,arena_004,,SwitchRegionTrigger2_5,MHPlayerSpawnPoint2_5,"1585.2311,2974.7671,211","1,0,0,0"
,arena_004,,SwitchRegionTrigger5_6,MHPlayerSpawnPoint5_6,"2479.9773,3009.5596,189.13705","-0.026176874,0,0,0.99965733"
,arena_004,,SwitchRegionTrigger1_3_Tip,,"1448.74,707.83398,57.409599","0.27563739,0,0,0.96126169"
,arena_004,,SwitchRegionTrigger1_0_Tip,MHPlayerSpawnPoint1_0,"2030.2454,225.72934,23.70294","0.74314481,0,0,0.66913062"
,arena_004,,SwitchRegionTrigger3_1,MHPlayerSpawnPoint3_1,"1437.2437,711.49017,55.34375","0.70710671,0,0,0.70710683"
,arena_004,,SwitchRegionTrigger3_2_Tip,,"2301.5881,740.39825,85.176453","0.48480958,0,0,0.87461972"
,arena_004,,SwitchRegionTrigger8_9,MHPlayerSpawnPoint8_9,"553.95404,3582.1013,67.269379","0.9335804,0,0,-0.35836801"
